Year,Month,Anomaly
1875,11,12.713
1875,12,12.094
1876,1,11.912
1876,2,12.228
1876,3,12.819
1876,4,13.756
1876,5,14.484
1876,6,15.392
1876,7,15.835
1876,8,15.526
1876,9,14.862
1876,10,14.033
1876,11,12.799
1876,12,11.984
1877,1,12.105
1877,2,12.413
1877,3,13.168
1877,4,13.909
1877,5,14.958
1877,6,15.664
1877,7,16.133
1877,8,16.055
1877,9,15.386
1877,10,14.48
1877,11,13.49
1877,12,12.472
1878,1,12.285
1878,2,12.912
1878,3,13.682
1878,4,14.332
1878,5,14.954
1878,6,15.831
1878,7,16.109
1878,8,15.905
1878,9,15.192
1878,10,14.221
1878,11,13.317
1878,12,12.433
1879,1,12.154
1879,2,12.258
1879,3,13.049
1879,4,13.739
1879,5,14.768
1879,6,15.524
1879,7,15.773
1879,8,15.583
1879,9,14.93
1879,10,14.213
1879,11,12.981
1879,12,12.039
1880,1,11.913
1880,2,11.968
1880,3,12.802
1880,4,13.679
1880,5,14.769
1880,6,15.412
1880,7,15.733
1880,8,15.601
1880,9,14.849
1880,10,13.969
1880,11,13.084
1880,12,12.335
1881,1,12.174
1881,2,12.289
1881,3,13.033
1881,4,14.008
1881,5,14.909
1881,6,15.368
1881,7,15.846
1881,8,15.677
1881,9,14.934
1881,10,14.038
1881,11,12.88
1881,12,12.337
1882,1,12.386
1882,2,12.508
1882,3,12.985
1882,4,13.739
1882,5,14.761
1882,6,15.397
1882,7,15.649
1882,8,15.61
1882,9,15.032
1882,10,13.95
1882,11,12.838
1882,12,11.994
1883,1,11.881
1883,2,12.062
1883,3,13.023
1883,4,13.72
1883,5,14.78
1883,6,15.584
1883,7,15.727
1883,8,15.468
1883,9,14.871
1883,10,14.017
1883,11,12.791
1883,12,12.281
1884,1,12.048
1884,2,12.301
1884,3,12.614
1884,4,13.476
1884,5,14.431
1884,6,15.199
1884,7,15.445
1884,8,15.341
1884,9,14.687
1884,10,13.837
1884,11,12.675
1884,12,12.106
1885,1,11.609
1885,2,12.026
1885,3,12.758
1885,4,13.523
1885,5,14.453
1885,6,15.156
1885,7,15.653
1885,8,15.386
1885,9,14.785
1885,10,13.97
1885,11,12.884
1885,12,12.389
1886,1,11.653
1886,2,11.852
1886,3,12.575
1886,4,13.646
1886,5,14.686
1886,6,15.265
1886,7,15.712
1886,8,15.377
1886,9,14.724
1886,10,13.833
1886,11,12.722
1886,12,12.206
1887,1,11.337
1887,2,11.787
1887,3,12.628
1887,4,13.648
1887,5,14.544
1887,6,15.232
1887,7,15.649
1887,8,15.281
1887,9,14.83
1887,10,13.883
1887,11,12.874
1887,12,12.141
1888,1,11.932
1888,2,11.977
1888,3,12.665
1888,4,13.654
1888,5,14.665
1888,6,15.406
1888,7,15.754
1888,8,15.549
1888,9,14.935
1888,10,14.216
1888,11,13.122
1888,12,12.435
1889,1,12.17
1889,2,12.73
1889,3,13.157
1889,4,14.102
1889,5,14.862
1889,6,15.527
1889,7,15.842
1889,8,15.54
1889,9,14.865
1889,10,13.998
1889,11,12.786
1889,12,12.218
1890,1,11.835
1890,2,12.063
1890,3,12.548
1890,4,13.623
1890,5,14.517
1890,6,15.249
1890,7,15.559
1890,8,15.354
1890,9,14.763
1890,10,14
1890,11,12.602
1890,12,12.171
1891,1,11.8
1891,2,11.9
1891,3,12.882
1891,4,13.674
1891,5,14.748
1891,6,15.36
1891,7,15.667
1891,8,15.54
1891,9,14.966
1891,10,13.96
1891,11,12.78
1891,12,12.44
1892,1,12.01
1892,2,12.321
1892,3,12.677
1892,4,13.555
1892,5,14.618
1892,6,15.441
1892,7,15.537
1892,8,15.382
1892,9,14.83
1892,10,14.032
1892,11,12.523
1892,12,12.049
1893,1,11.388
1893,2,11.878
1893,3,12.822
1893,4,13.672
1893,5,14.623
1893,6,15.42
1893,7,15.823
1893,8,15.553
1893,9,14.878
1893,10,14.073
1893,11,12.945
1893,12,12.146
1894,1,11.748
1894,2,12.073
1894,3,12.781
1894,4,13.515
1894,5,14.619
1894,6,15.264
1894,7,15.722
1894,8,15.552
1894,9,14.89
1894,10,14.077
