Year,Month,Anomaly
1978,11,13.436
1978,12,12.699
1979,1,12.47
1979,2,12.431
1979,3,13.301
1979,4,14.273
1979,5,15.091
1979,6,15.818
1979,7,16.02
1979,8,15.989
1979,9,15.507
1979,10,14.546
1979,11,13.543
1979,12,13.051
1980,1,12.668
1980,2,12.966
1980,3,13.48
1980,4,14.456
1980,5,15.399
1980,6,15.937
1980,7,16.293
1980,8,16.087
1980,9,15.432
1980,10,14.461
1980,11,13.543
1980,12,12.782
1981,1,12.865
1981,2,12.92
1981,3,13.56
1981,4,14.359
1981,5,15.29
1981,6,16.091
1981,7,16.368
1981,8,16.244
1981,9,15.448
1981,10,14.444
1981,11,13.479
1981,12,13.039
1982,1,12.42
1982,2,12.656
1982,3,13.098
1982,4,14.138
1982,5,15.207
1982,6,15.829
1982,7,16.123
1982,8,15.898
1982,9,15.368
1982,10,14.427
1982,11,13.373
1982,12,12.984
1983,1,12.777
1983,2,12.943
1983,3,13.477
1983,4,14.379
1983,5,15.396
1983,6,15.954
1983,7,16.157
1983,8,16.179
1983,9,15.638
1983,10,14.462
1983,11,13.54
1983,12,12.782
1984,1,12.577
1984,2,12.64
1984,3,13.398
1984,4,14.205
1984,5,15.396
1984,6,15.813
1984,7,16.035
1984,8,15.971
1984,9,15.449
1984,10,14.407
1984,11,13.263
1984,12,12.519
1985,1,12.576
1985,2,12.539
1985,3,13.286
1985,4,14.204
1985,5,15.222
1985,6,15.899
1985,7,15.97
1985,8,16.018
1985,9,15.378
1985,10,14.433
1985,11,13.346
1985,12,12.763
1986,1,12.529
1986,2,12.926
1986,3,13.372
1986,4,14.358
1986,5,15.294
1986,6,15.836
1986,7,16.09
1986,8,16.002
1986,9,15.326
1986,10,14.459
1986,11,13.362
1986,12,12.736
1987,1,12.637
1987,2,12.899
1987,3,13.332
1987,4,14.329
1987,5,15.333
1987,6,16.105
1987,7,16.425
1987,8,16.142
1987,9,15.58
1987,10,14.623
1987,11,13.485
1987,12,13.067
1988,1,12.849
1988,2,12.929
1988,3,13.576
1988,4,14.536
1988,5,15.467
1988,6,16.165
1988,7,16.318
1988,8,16.238
1988,9,15.621
1988,10,14.62
1988,11,13.338
1988,12,12.847
1989,1,12.365
1989,2,12.855
1989,3,13.411
1989,4,14.373
1989,5,15.139
1989,6,15.875
1989,7,16.316
1989,8,16.155
1989,9,15.579
1989,10,14.633
1989,11,13.42
1989,12,13.004
1990,1,12.711
1990,2,12.893
1990,3,13.85
1990,4,14.682
1990,5,15.563
1990,6,16.126
1990,7,16.452
1990,8,16.165
1990,9,15.543
1990,10,14.738
1990,11,13.67
1990,12,12.98
1991,1,12.733
1991,2,13.022
1991,3,13.493
1991,4,14.634
1991,5,15.458
1991,6,16.264
1991,7,16.501
1991,8,16.265
1991,9,15.68
1991,10,14.648
1991,11,13.577
1991,12,12.944
1992,1,12.791
1992,2,12.945
1992,3,13.575
1992,4,14.372
1992,5,15.355
1992,6,16.001
1992,7,16.109
1992,8,15.93
1992,9,15.197
1992,10,14.351
1992,11,13.284
1992,12,12.81
1993,1,12.693
1993,2,12.93
1993,3,13.492
1993,4,14.398
1993,5,15.365
1993,6,16.029
1993,7,16.265
1993,8,16.021
1993,9,15.431
1993,10,14.587
1993,11,13.395
1993,12,12.791
1994,1,12.594
1994,2,12.605
1994,3,13.48
1994,4,14.485
1994,5,15.372
1994,6,16.163
1994,7,16.274
1994,8,16.061
1994,9,15.571
1994,10,14.746
1994,11,13.701
1994,12,12.945
1995,1,12.82
1995,2,13.275
1995,3,13.587
1995,4,14.616
1995,5,15.398
1995,6,16.223
1995,7,16.524
1995,8,16.356
1995,9,15.637
1995,10,14.81
1995,11,13.741
1995,12,12.893
1996,1,12.623
1996,2,13.082
1996,3,13.556
1996,4,14.493
1996,5,15.34
1996,6,15.996
1996,7,16.351
1996,8,16.344
1996,9,15.52
1996,10,14.504
1996,11,13.7
1996,12,13.03
1997,1,12.66
1997,2,12.925
1997,3,13.664
1997,4,14.531
1997,5,15.458
1997,6,16.339
1997,7,16.388
1997,8,16.275
1997,9,15.799
1997,10,14.995
1997,11,13.98
1997,12,13.212
1998,1,12.945
1998,2,13.385
1998,3,13.791
1998,4,14.844
1998,5,15.783
1998,6,16.51
1998,7,16.71
1998,8,16.573
1998,9,15.731
1998,10,14.786
1998,11,13.76
1998,12,13.21
1999,1,12.796
1999,2,13.19
1999,3,13.496
1999,4,14.448
1999,5,15.364
1999,6,16.16
1999,7,16.381
1999,8,16.186
1999,9,15.697
1999,10,14.694
1999,11,13.668
1999,12,13.039
2000,1,12.624
2000,2,13.096
2000,3,13.678
2000,4,14.674
2000,5,15.43
2000,6,16.166
2000,7,16.375
2000,8,16.303
2000,9,15.689
2000,10,14.576
2000,11,13.615
2000,12,12.904
2001,1,12.806
2001,2,12.999
2001,3,13.718
2001,4,14.647
2001,5,15.618
2001,6,16.284
2001,7,16.562
2001,8,16.305
2001,9,15.783
2001,10,14.804
2001,11,13.988
2001,12,13.226
2002,1,13.063
2002,2,13.227
2002,3,14.049
2002,4,14.721
2002,5,15.707
2002,6,16.29
2002,7,16.589
2002,8,16.389
2002,9,15.917
2002,10,14.912
2002,11,13.861
2002,12,13.126
2003,1,13.095
2003,2,13.112
2003,3,13.703
2003,4,14.67
2003,5,15.679
2003,6,16.216
2003,7,16.549
2003,8,16.482
2003,9,15.92
2003,10,15.044
2003,11,13.815
2003,12,13.344
2004,1,12.94
2004,2,13.233
2004,3,13.748
2004,4,14.735
2004,5,15.443
2004,6,16.16
2004,7,16.24
2004,8,16.292
2004,9,15.781
2004,10,14.931
2004,11,13.979
2004,12,13.104
2005,1,13.082
2005,2,13.183
2005,3,13.894
2005,4,14.798
2005,5,15.716
2005,6,16.418
2005,7,16.597
2005,8,16.462
2005,9,15.978
2005,10,15.121
2005,11,14.004
2005,12,13.322
2006,1,12.934
2006,2,13.328
2006,3,13.809
2006,4,14.648
2006,5,15.573
2006,6,16.397
2006,7,16.46
2006,8,16.562
2006,9,15.876
2006,10,15.005
2006,11,13.984
2006,12,13.393
2007,1,13.281
2007,2,13.268
2007,3,13.807
2007,4,14.908
2007,5,15.729
2007,6,16.337
2007,7,16.631
2007,8,16.458
2007,9,15.84
2007,10,14.937
2007,11,13.873
2007,12,13.068
2008,1,12.6
2008,2,12.867
2008,3,13.797
2008,4,14.635
2008,5,15.583
2008,6,16.235
2008,7,16.566
2008,8,16.308
2008,9,15.914
2008,10,15.013
2008,11,13.95
2008,12,13.148
2009,1,13.003
2009,2,13.092
2009,3,13.633
2009,4,14.689
2009,5,15.682
2009,6,16.418
2009,7,16.773
2009,8,16.564
2009,9,15.975
2009,10,15.021
2009,11,14.064
2009,12,13.334
2010,1,13.119
2010,2,13.411
2010,3,14.042
2010,4,15.017
2010,5,15.827
2010,6,16.414
2010,7,16.596
2010,8,16.515
2010,9,15.912
2010,10,15.045
2010,11,14.056
2010,12,13.121
2011,1,12.9
2011,2,13.073
2011,3,13.81
2011,4,14.752
2011,5,15.599
2011,6,16.398
2011,7,16.769
2011,8,16.631
2011,9,15.827
2011,10,14.968
2011,11,13.842
2011,12,13.191
2012,1,12.768
2012,2,13.027
2012,3,13.631
2012,4,14.807
2012,5,15.832
2012,6,16.416
2012,7,16.553
2012,8,16.563
2012,9,16.008
2012,10,15.148
2012,11,14.086
2012,12,13.16
2013,1,13.028
2013,2,13.108
2013,3,13.791
2013,4,14.671
2013,5,15.687
2013,6,16.398
2013,7,16.571
2013,8,16.543
2013,9,16.022
2013,10,14.999
2013,11,14.116
2013,12,13.288
2014,1,13.077
2014,2,13.08
2014,3,13.892
2014,4,14.89
2014,5,15.909
2014,6,16.399
2014,7,16.567
2014,8,16.705
2014,9,16.137
2014,10,15.15
2014,11,13.909
2014,12,13.364
2015,1,13.149
2015,2,13.39
2015,3,14.017
2015,4,14.89
2015,5,15.873
2015,6,16.543
2015,7,16.72
2015,8,16.683
2015,9,16.116
2015,10,15.387
2015,11,14.3
2015,12,13.736
2016,1,13.537
2016,2,13.826
2016,3,14.43
2016,4,15.208
2016,5,16.057
2016,6,16.551
2016,7,16.823
2016,8,16.852
2016,9,16.147
2016,10,15.255
2016,11,14.237
2016,12,13.522
2017,1,13.377
2017,2,13.672
2017,3,14.324
2017,4,15.074
2017,5,15.992
2017,6,16.444
2017,7,16.798
2017,8,16.713
2017,9,16.007
2017,10,15.217
2017,11,14.132
2017,12,13.544
2018,1,13.163
2018,2,13.416
2018,3,14.031
2018,4,15.017
2018,5,15.855
2018,6,16.518
2018,7,16.794
2018,8,16.641
2018,9,16.03
2018,10,15.302
2018,11,14.095
2018,12,13.524
2019,1,13.236
2019,2,13.48
2019,3,14.321
2019,4,15.141
2019,5,15.934
2019,6,16.597
2019,7,16.933
2019,8,16.811
2019,9,16.167
2019,10,15.403
2019,11,14.281
2019,12,13.703
2020,1,13.482
2020,2,13.716
2020,3,14.279
2020,4,15.256
2020,5,16.048
2020,6,16.632
2020,7,16.913
2020,8,16.766
2020,9,16.229
2020,10,15.22
2020,11,14.361
2020,12,13.409
2021,1,13.176
2021,2,13.191
2021,3,13.972
2021,4,14.91
2021,5,15.873
2021,6,16.556
2021,7,16.892
2021,8,16.716
2021,9,16.211
2021,10,15.35
2021,11,14.205
2021,12,13.435
2022,1,13.227
2022,2,13.377
2022,3,14.181
2022,4,14.962
2022,5,15.898
2022,6,16.681
2022,7,16.911
2022,8,16.791
2022,9,16.13
2022,10,15.358
